#Glass materials Database#Name: Glass name
#LambdaMin, LambdaMax: wavelength range (um)
#K1,L1,K2,L2,K3,L3: Sellmeier1 coeficients.
#Name                       LambdaMin	LambdaMax		K1		L1		K2		L2	      K3               L3			
N-BAF52                    0.365000	2.500000	1.439034330E+00	9.078001280E-03	9.670460520E-02	5.082120800E-02	1.098758180E+00	1.056918560E+02
N-BAK1                     0.300000	2.500000	1.123656620E+00	6.447427520E-03	3.092768480E-01	2.222844020E-02	8.815119570E-01	1.072977510E+02
N-BAK2                     0.300000	2.500000	1.016621540E+00	5.923837630E-03	3.199030510E-01	2.038284150E-02	9.372329950E-01	1.131184170E+02
N-BAK4                     0.334000	2.500000	1.288346420E+00	7.799806260E-03	1.328177240E-01	3.156311770E-02	9.453953730E-01	1.059658750E+02
N-BAK4HT                   0.334000	2.500000	1.288346420E+00	7.799806260E-03	1.328177240E-01	3.156311770E-02	9.453953730E-01	1.059658750E+02
N-BALF4                    0.350000	2.500000	1.310041280E+00	7.965964500E-03	1.420382590E-01	3.306720720E-02	9.649293510E-01	1.091973200E+02
N-BALF5                    0.350000	2.500000	1.283859650E+00	8.258159750E-03	7.193009420E-02	4.419200270E-02	1.050489270E+00	1.070973240E+02
N-BASF2                    0.370000	2.500000	1.536520810E+00	1.084357290E-02	1.569711020E-01	5.622787620E-02	1.301968150E+00	1.313397000E+02
N-BASF64                   0.365000	2.500000	1.655542680E+00	1.044856440E-02	1.713197700E-01	4.993947560E-02	1.336644480E+00	1.189614720E+02
N-BK10                     0.290000	2.500000	8.883081310E-01	5.169008220E-03	3.289644750E-01	1.611900450E-02	9.846107690E-01	9.975753310E+01
N-BK7                      0.300000	2.500000	1.039612120E+00	6.000698670E-03	2.317923440E-01	2.001791440E-02	1.010469450E+00	1.035606530E+02
N-BK7HT                    0.300000	2.500000	1.039612120E+00	6.000698670E-03	2.317923440E-01	2.001791440E-02	1.010469450E+00	1.035606530E+02
N-BK7HTI                   0.300000	2.500000	1.039612120E+00	6.000698670E-03	2.317923440E-01	2.001791440E-02	1.010469450E+00	1.035606530E+02
N-F2                       0.365000	2.500000	1.397570370E+00	9.959061430E-03	1.592014030E-01	5.469317520E-02	1.268654300E+00	1.192483460E+02
